date,value,change
2023-09-22,91.77,84.36999999999999
2023-09-29,18.23,-73.53999999999999
2023-10-06,-36.32,-54.55
2023-10-13,-1.13,35.19
2023-10-20,8.46,9.59
2023-10-27,-10.41,-18.87
2023-11-03,27.22,37.629999999999995
2023-11-10,130.99,103.77000000000001
2023-11-17,4.89,-126.10000000000001
2023-11-24,96.82,91.92999999999999
2023-12-01,152.22,55.400000000000006
2023-12-08,891.43,739.2099999999999
2023-12-15,188.5,-702.93
2023-12-22,33.92,-154.57999999999998
2023-12-29,5.09,-28.830000000000002
2024-01-05,-45.91,-51.0
2024-01-12,424.86,470.77
2024-01-19,-40.29,-465.15000000000003
2024-01-26,-51.15,-10.86
2024-02-02,-14.47,36.68
2024-02-09,13.46,27.93
2024-02-16,60.38,46.92
2024-02-23,28.58,-31.800000000000004
2024-03-01,-54.43,-83.00999999999999
2024-03-08,-259.48,-205.05
2024-03-15,-70.06,189.42000000000002
2024-03-22,-103.76,-33.7
2024-03-29,111.52,215.28
2024-04-05,86.36,-25.159999999999997
2024-04-12,38.18,-48.18
2024-04-19,115.12,76.94
2024-04-26,603.5,488.38
2024-05-03,761.11,157.61
2024-05-10,2832.57,2071.46
2024-05-17,1338.99,-1493.5800000000002
2024-05-24,1570.33,231.33999999999992
2024-05-31,94.11,-1476.22
2024-06-07,540.82,446.71000000000004
2024-06-14,791.66,250.83999999999992
2024-06-21,34.48,-757.18
2024-06-28,-679.46,-713.94
2024-07-05,1417.88,2097.34
2024-07-12,895.44,-522.44
2024-07-19,-699.99,-1595.43
2024-07-26,1360.51,2060.5
2024-08-02,-162.08,-1522.59
2024-08-09,17.64,179.72000000000003
2024-08-16,1404.4,1386.76
2024-08-23,-1026.37,-2430.77
2024-08-30,682.9,1709.27
2024-09-06,-863.67,-1546.57
2024-09-13,1646.56,2510.23
2024-09-20,1583.3,-63.25999999999999
2024-09-27,-443.92,-2027.22
2024-10-04,-124.36,319.56
2024-10-11,200.51,324.87
2024-10-18,115.68,-84.82999999999998
2024-10-25,41.89,-73.79
2024-11-01,621.71,579.82
2024-11-08,149.59,-472.12
2024-11-15,1627.33,1477.74
2024-11-22,-814.23,-2441.56
2024-11-29,610.22,1424.45
2024-12-06,-102.34,-712.5600000000001
2024-12-13,-242.99,-140.65
2024-12-20,336.2,579.19
2024-12-27,-271.13,-607.3299999999999
2025-01-03,187.51,458.64
2025-01-10,460.54,273.03000000000003
2025-01-17,1239.28,778.74
2025-01-24,382.92,-856.3599999999999
2025-01-31,-682.84,-1065.76
2025-02-07,-1490.88,-808.0400000000001
2025-02-14,1851.06,3341.94
2025-02-21,179.75,-1671.31
2025-02-28,53.47,-126.28
2025-03-07,-159.35,-212.82
2025-03-14,1465.3,1624.6499999999999
2025-03-21,-439.54,-1904.84
2025-03-28,-2388.05,-1948.5100000000002
2025-04-04,-2019.52,368.5300000000002
2025-04-11,-2804.51,-784.9900000000002
2025-04-18,-969.96,1834.5500000000002
2025-04-25,476.74,1446.7
2025-05-02,-1161.9,-1638.64
2025-05-09,933.74,2095.6400000000003
2025-05-16,1875.55,941.81
2025-05-23,148.35,-1727.2
2025-05-30,-333.53,-481.88
2025-06-06,-1637.08,-1303.55
2025-06-13,579.6,2216.68
2025-06-20,685.6,106.0
2025-06-27,305.11,-380.49
2025-07-04,2377.01,2071.9
2025-07-11,-493.01,-2870.0200000000004
2025-07-18,35.97,528.98
2025-07-25,270.96,234.98999999999998
2025-08-01,8.81,-262.15
2025-08-08,-417.03,-425.84
2025-08-15,1099.64,1516.67
2025-08-22,96.47,-1003.1700000000001
2025-08-29,763.25,666.78
2025-09-05,-780.04,-1543.29
2025-09-12,587.91,1367.9499999999998
2025-09-19,177.95,-409.96
2025-09-26,439.59,261.64
2025-10-03,-358.49,-798.0799999999999
2025-10-10,307.75,666.24
2025-10-17,151.08,-156.67
2025-10-24,-441.83,-592.91
2025-10-31,374.43,816.26
2025-11-07,311.49,-62.94
2025-11-14,499.79,188.3
2025-11-21,239.08,-260.71000000000004
2025-11-28,594.49,355.40999999999997
2025-12-05,-23.65,-618.14
2025-12-12,339.6,363.25
2025-12-19,202.77,-136.83
2025-12-26,-235.96,-438.73
2026-01-02,288.52,524.48
2026-01-09,864.81,576.29
2026-01-16,1097.36,232.54999999999995
2026-01-23,1256.08,158.72000000000003
2026-01-30,721.82,-534.2599999999999
2026-02-06,255.58,-466.24
2026-02-13,1314.13,1058.5500000000002
2026-02-20,-991.44,-2305.57
2026-02-27,-212.78,778.6600000000001
2026-03-06,-1725.49,-1512.71
2026-03-13,-2877.82,-1152.3300000000002
2026-03-20,-130.07,2747.75
2026-03-27,-1369.91,-1239.8400000000001
2026-04-03,-784.33,585.58
2026-04-10,712.73,1497.06
2026-04-17,243.03,-469.70000000000005
2026-04-24,193.58,-49.44999999999999
2026-05-01,-282.11,-475.69000000000005
2026-05-08,181.69,463.8
2026-05-15,1.33,-180.35999999999999
2026-05-22,-334.77,-336.09999999999997
2026-05-29,-134.47,200.29999999999998
2026-06-05,-279.57,-145.1
2026-06-12,429.3,708.87
2026-06-19,340.97,-88.32999999999998
2026-06-26,448.26,107.28999999999996
2026-07-03,571.98,123.72000000000003
