date,value,change
2023-09-29,-98.28,-172.67000000000002
2023-10-06,-237.75,-139.47
2023-10-13,21.92,259.67
2023-10-20,-107.15,-129.07
2023-10-27,-67.94,39.21000000000001
2023-11-03,85.67,153.61
2023-11-10,7.27,-78.4
2023-11-17,119.47,112.2
2023-11-24,214.76,95.28999999999999
2023-12-01,376.43,161.67000000000002
2023-12-08,562.36,185.93
2023-12-15,395.95,-166.41000000000003
2023-12-22,139.86,-256.09
2023-12-29,39.86,-100.00000000000001
2024-01-05,-299.68,-339.54
2024-01-12,157.41,457.09000000000003
2024-01-19,145.63,-11.780000000000001
2024-01-26,62.55,-83.08
2024-02-02,132.83,70.28000000000002
2024-02-09,36.77,-96.06
2024-02-16,-22.12,-58.89
2024-02-23,-98.01,-75.89
2024-03-01,-75.42,22.590000000000003
2024-03-08,-292.91,-217.49
2024-03-15,-155.94,136.97000000000003
2024-03-22,428.85,584.79
2024-03-29,266.72,-162.13
2024-04-05,362.93,96.20999999999998
2024-04-12,159.96,-202.97
2024-04-19,-143.37,-303.33000000000004
2024-04-26,-154.56,-11.189999999999998
2024-05-03,310.63,465.19
2024-05-10,84.68,-225.95
2024-05-17,-232.69,-317.37
2024-05-24,-27.93,204.76
2024-05-31,-528.79,-500.85999999999996
2024-06-07,-542.7,-13.910000000000082
2024-06-14,-439.19,103.51000000000005
2024-06-21,-158.27,280.91999999999996
2024-06-28,-227.77,-69.5
2024-07-05,156.37,384.14
2024-07-12,-57.74,-214.11
2024-07-19,124.2,181.94
2024-07-26,-128.46,-252.66000000000003
2024-08-02,-169.21,-40.75
2024-08-09,-323.48,-154.27
2024-08-16,-297.59,25.890000000000043
2024-08-23,66.0,363.59
2024-08-30,-19.52,-85.52
2024-09-06,-50.8,-31.279999999999998
2024-09-13,-320.6,-269.8
2024-09-20,96.08,416.68
2024-09-27,206.22,110.14
2024-10-04,-291.08,-497.29999999999995
2024-10-11,-125.74,165.33999999999997
2024-10-18,-73.61,52.129999999999995
2024-10-25,-217.78,-144.17000000000002
2024-11-01,110.76,328.54
2024-11-08,-163.8,-274.56
2024-11-15,138.56,302.36
2024-11-22,-272.27,-410.83
2024-11-29,276.85,549.12
2024-12-06,-157.56,-434.41
2024-12-13,318.69,476.25
2024-12-20,-169.17,-487.86
2024-12-27,-101.03,68.13999999999999
2025-01-03,66.41,167.44
2025-01-10,-211.84,-278.25
2025-01-17,-67.19,144.65
2025-01-24,345.39,412.58
2025-01-31,89.09,-256.29999999999995
2025-02-07,-49.6,-138.69
2025-02-14,108.38,157.98
2025-02-21,73.84,-34.53999999999999
2025-02-28,-107.74,-181.57999999999998
2025-03-07,216.33,324.07
2025-03-14,480.11,263.78
2025-03-21,-443.61,-923.72
2025-03-28,-651.88,-208.26999999999998
2025-04-04,-445.24,206.64
2025-04-11,-293.24,152.0
2025-04-18,269.13,562.37
2025-04-25,92.35,-176.78
2025-05-02,173.57,81.22
2025-05-09,101.99,-71.58
2025-05-16,245.21,143.22000000000003
2025-05-23,13.24,-231.97
2025-05-30,93.17,79.93
2025-06-06,51.29,-41.88
2025-06-13,474.87,423.58
2025-06-20,-109.15,-584.02
2025-06-27,247.66,356.81
2025-07-04,234.87,-12.789999999999992
2025-07-11,178.29,-56.58000000000001
2025-07-18,209.43,31.140000000000015
2025-07-25,205.18,-4.25
2025-08-01,135.51,-69.67000000000002
2025-08-08,77.9,-57.609999999999985
2025-08-15,125.12,47.22
2025-08-22,89.45,-35.67
2025-08-29,-139.63,-229.07999999999998
2025-09-05,-523.24,-383.61
2025-09-12,-164.94,358.3
2025-09-19,407.6,572.54
2025-09-26,158.75,-248.85000000000002
2025-10-03,-84.12,-242.87
2025-10-10,-109.69,-25.569999999999993
2025-10-17,-178.03,-68.34
2025-10-24,-118.47,59.56
