date,value,change
2024-02-02,-479.45,-314.87
2024-02-09,-94.68,384.77
2024-02-16,1627.12,1721.8
2024-02-23,-289.02,-1916.1399999999999
2024-03-01,-371.89,-82.87
2024-03-08,184.7,556.5899999999999
2024-03-15,-802.62,-987.3199999999999
2024-03-22,511.48,1314.1
2024-03-29,-85.8,-597.28
2024-04-05,171.4,257.2
2024-04-12,-85.15,-256.55
2024-04-19,-305.61,-220.46
2024-04-26,-79.07,226.54000000000002
2024-05-03,32.16,111.22999999999999
2024-05-10,177.07,144.91
2024-05-17,251.97,74.9
2024-05-24,96.6,-155.37
2024-05-31,110.35,13.75
2024-06-07,793.72,683.37
2024-06-14,498.02,-295.70000000000005
2024-06-21,-103.06,-601.0799999999999
2024-06-28,-136.33,-33.27000000000001
2024-07-05,-758.52,-622.1899999999999
2024-07-12,34.69,793.21
2024-07-19,1168.83,1134.1399999999999
2024-07-26,-210.76,-1379.59
2024-08-02,62.97,273.73
2024-08-09,-140.5,-203.47
2024-08-16,-779.59,-639.09
2024-08-23,-221.82,557.77
2024-08-30,-129.59,92.22999999999999
2024-09-06,-381.92,-252.33
2024-09-13,-114.23,267.69
2024-09-20,213.45,327.68
2024-09-27,-846.47,-1059.92
2024-10-04,1371.71,2218.1800000000003
2024-10-11,-448.51,-1820.22
2024-10-18,-77.84,370.66999999999996
2024-10-25,-126.88,-49.03999999999999
2024-11-01,-344.93,-218.05
2024-11-08,-35.27,309.66
2024-11-15,-476.87,-441.6
2024-11-22,-330.12,146.75
2024-11-29,1586.94,1917.06
2024-12-06,-164.29,-1751.23
2024-12-13,346.35,510.64
2024-12-20,-572.0,-918.35
2024-12-27,200.75,772.75
2025-01-03,-71.76,-272.51
2025-01-10,50.78,122.54
2025-01-17,-200.31,-251.09
2025-01-24,51.24,251.55
2025-01-31,-99.25,-150.49
2025-02-07,-436.05,-336.8
2025-02-14,2049.49,2485.54
2025-02-21,-70.93,-2120.4199999999996
2025-02-28,-71.96,-1.029999999999987
2025-03-07,129.17,201.13
2025-03-14,-772.88,-902.05
2025-03-21,-168.96,603.92
2025-03-28,-381.51,-212.54999999999998
2025-04-04,-811.63,-430.12
2025-04-11,-1109.64,-298.0100000000001
2025-04-18,-80.92,1028.72
2025-04-25,-136.94,-56.019999999999996
2025-05-02,-182.69,-45.75
2025-05-09,-228.89,-46.19999999999999
2025-05-16,-215.53,13.359999999999985
2025-05-23,-261.65,-46.119999999999976
2025-05-30,1640.4,1902.0500000000002
2025-06-06,23.26,-1617.14
2025-06-13,-223.55,-246.81
2025-06-20,-366.85,-143.3
2025-06-27,367.72,734.57
2025-07-04,1879.87,1512.1499999999999
2025-07-11,-611.95,-2491.8199999999997
2025-07-18,1438.47,2050.42
2025-07-25,-186.15,-1624.6200000000001
2025-08-01,-65.83,120.32000000000001
2025-08-08,-481.21,-415.38
2025-08-15,-149.44,331.77
2025-08-22,-231.85,-82.41
2025-08-29,-112.56,119.28999999999999
2025-09-05,41.5,154.06
2025-09-12,-17.45,-58.95
2025-09-19,1812.48,1829.93
2025-09-26,-0.25,-1812.73
2025-10-03,-76.34,-76.09
2025-10-10,-119.19,-42.849999999999994
2025-10-17,-441.37,-322.18
2025-10-24,-183.65,257.72
2025-10-31,64.1,247.75
2025-11-07,1290.76,1226.66
2025-11-14,-1359.88,-2650.6400000000003
2025-11-21,-290.57,1069.3100000000002
2025-11-28,-250.91,39.66
2025-12-05,-219.36,31.549999999999983
2025-12-12,-505.46,-286.09999999999997
2025-12-19,427.89,933.3499999999999
2025-12-26,36.28,-391.61
2026-01-02,253.01,216.73
2026-01-09,79.03,-173.98
2026-01-16,2275.96,2196.93
2026-01-23,246.92,-2029.04
2026-01-30,-327.07,-573.99
2026-02-06,51.45,378.52
2026-02-13,1323.36,1271.9099999999999
2026-02-20,-737.8,-2061.16
2026-02-27,36.76,774.56
2026-03-06,-635.28,-672.04
2026-03-13,-381.11,254.16999999999996
2026-03-20,-243.78,137.33
2026-03-27,143.88,387.65999999999997
2026-04-03,-97.04,-240.92000000000002
2026-04-10,353.05,450.09000000000003
2026-04-17,68.21,-284.84000000000003
2026-04-24,1707.95,1639.74
2026-05-01,-38.05,-1746.0
2026-05-08,19.5,57.55
2026-05-15,232.93,213.43
2026-05-22,-373.01,-605.94
2026-05-29,-48.85,324.15999999999997
2026-06-05,-238.46,-189.61
